"sep=;"
"ordinal_id";"github_repo_id";"repo_full_name";"repo_html_url";"repo_forks_count";"repo_stargazers_count";"repo_created_at";"repo_is_fork";"repo_has_issues";"repo_open_issues_count";"repo_has_wiki";"repo_network_count";"repo_pushed_at";"repo_size";"repo_updated_at";"wrepo_atchers_count";"project_id";"project_name";"project_url";"project_htmlurl";"project_created_at";"project_updated_at";"project_homepage_url";"project_average_rating";"project_rating_count";"project_review_count";"project_activity_level";"project_user_count";"twelve_month_contributor_count";"total_contributor_count";"twelve_month_commit_count";"total_commit_count";"total_code_lines";"main_language_name";"developer_works_during_bd";"developer_works_period"
"45";"eventmachine/eventmachine";"eventmachine/eventmachine";"https://github.com/eventmachine/eventmachine";"442";"2807";"7";"2008-08-17 18:35:57";"False";"True";"261";"True";"442";"2014-12-25 00:47:29";"5111";"2015-01-05 13:53:23";"2807";"11154";"Ruby/EventMachine";"https://www.openhub.net/p/eventmachine.xml";"https://www.openhub.net/p/eventmachine";"2008-01-21T05:56:09Z";"2014-11-17T18:50:42Z";"http://rubyeventmachine.com/";"5.0";"4";"0";"0";"10";"5";"95";"17";"820";"14711";"Ruby";"True";"6"
"25";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2649";"12265";"9";"2011-05-25 23:39:40";"False";"True";"222";"False";"2649";"2015-01-05 12:46:14";"64693";"2015-01-05 12:46:14";"12265";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2014-12-13T13:03:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"14";"218";"499";"2393";"7708";"64298";"JavaScript";"False";"62"
"54";"mosa/MOSA-Project";"mosa/MOSA-Project";"https://github.com/mosa/MOSA-Project";"35";"70";"7";"2009-12-24 04:11:15";"False";"True";"17";"True";"35";"2015-01-05 13:17:17";"67830";"2015-01-05 13:17:18";"70";"15985";"MOSA Project";"https://www.openhub.net/p/mosa-project.xml";"https://www.openhub.net/p/mosa-project";"2008-08-09T22:06:33Z";"2015-01-04T19:20:25Z";"http://www.mosa-project.org";"5.0";"5";"0";"60";"9";"6";"28";"737";"4251";"126037";"C#";"False";"108"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13341";"33722";"35";"2010-01-06 00:34:37";"False";"True";"1141";"True";"13341";"2015-01-04 12:13:48";"204488";"2015-01-05 13:44:57";"33722";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-04T19:16:39Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"640";"1242";"2278";"6317";"266132";"JavaScript";"True";"2440"
"45";"eventmachine/eventmachine";"eventmachine/eventmachine";"https://github.com/eventmachine/eventmachine";"442";"2807";"7";"2008-08-17 18:35:57";"False";"True";"261";"True";"442";"2014-12-25 00:47:29";"5111";"2015-01-05 13:53:23";"2807";"11154";"Ruby/EventMachine";"https://www.openhub.net/p/eventmachine.xml";"https://www.openhub.net/p/eventmachine";"2008-01-21T05:56:09Z";"2014-11-17T18:50:42Z";"http://rubyeventmachine.com/";"5.0";"4";"0";"0";"10";"5";"95";"17";"820";"14711";"Ruby";"0";"0"
"74";"Anakeen/dynacase-core";"Anakeen/dynacase-core";"https://github.com/Anakeen/dynacase-core";"6";"12";"8";"2011-08-05 07:38:48";"False";"True";"1";"True";"6";"2014-12-24 08:00:42";"371833";"2014-12-24 08:00:42";"12";"8271";"dynacase-platform";"https://www.openhub.net/p/dynacase.xml";"https://www.openhub.net/p/dynacase";"2007-09-06T14:09:32Z";"2014-12-26T03:29:53Z";"http://www.dynacase.org/";"5.0";"5";"0";"60";"7";"4";"15";"496";"6720";"165964";"PHP";"True";"115"
"25";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2649";"12265";"9";"2011-05-25 23:39:40";"False";"True";"222";"False";"2649";"2015-01-05 12:46:14";"64693";"2015-01-05 12:46:14";"12265";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2014-12-13T13:03:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"14";"218";"499";"2393";"7708";"64298";"JavaScript";"False";"8"
"69";"feincms/feincms";"feincms/feincms";"https://github.com/feincms/feincms";"207";"586";"7";"2009-01-27 20:34:16";"False";"True";"28";"True";"207";"2014-12-12 09:42:11";"12852";"2015-01-01 13:58:57";"586";"316037";"FeinCMS";"https://www.openhub.net/p/feincms.xml";"https://www.openhub.net/p/feincms";"2009-02-16T20:52:47Z";"2014-12-15T17:35:07Z";"http://www.feinheit.ch/";"5.0";"1";"0";"50";"8";"17";"108";"151";"3416";"11748";"Python";"True";"570"
"54";"mosa/MOSA-Project";"mosa/MOSA-Project";"https://github.com/mosa/MOSA-Project";"35";"70";"7";"2009-12-24 04:11:15";"False";"True";"17";"True";"35";"2015-01-05 13:17:17";"67830";"2015-01-05 13:17:18";"70";"15985";"MOSA Project";"https://www.openhub.net/p/mosa-project.xml";"https://www.openhub.net/p/mosa-project";"2008-08-09T22:06:33Z";"2015-01-04T19:20:25Z";"http://www.mosa-project.org";"5.0";"5";"0";"60";"9";"6";"28";"737";"4251";"126037";"C#";"False";"5"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13341";"33722";"35";"2010-01-06 00:34:37";"False";"True";"1141";"True";"13341";"2015-01-04 12:13:48";"204488";"2015-01-05 13:44:57";"33722";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-04T19:16:39Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"640";"1242";"2278";"6317";"266132";"JavaScript";"True";"1088"
"74";"Anakeen/dynacase-core";"Anakeen/dynacase-core";"https://github.com/Anakeen/dynacase-core";"6";"12";"8";"2011-08-05 07:38:48";"False";"True";"1";"True";"6";"2014-12-24 08:00:42";"371833";"2014-12-24 08:00:42";"12";"8271";"dynacase-platform";"https://www.openhub.net/p/dynacase.xml";"https://www.openhub.net/p/dynacase";"2007-09-06T14:09:32Z";"2014-12-26T03:29:53Z";"http://www.dynacase.org/";"5.0";"5";"0";"60";"7";"4";"15";"496";"6720";"165964";"PHP";"True";"33"
"45";"eventmachine/eventmachine";"eventmachine/eventmachine";"https://github.com/eventmachine/eventmachine";"442";"2807";"7";"2008-08-17 18:35:57";"False";"True";"261";"True";"442";"2014-12-25 00:47:29";"5111";"2015-01-05 13:53:23";"2807";"11154";"Ruby/EventMachine";"https://www.openhub.net/p/eventmachine.xml";"https://www.openhub.net/p/eventmachine";"2008-01-21T05:56:09Z";"2014-11-17T18:50:42Z";"http://rubyeventmachine.com/";"5.0";"4";"0";"0";"10";"5";"95";"17";"820";"14711";"Ruby";"True";"162"
"25";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2649";"12265";"9";"2011-05-25 23:39:40";"False";"True";"222";"False";"2649";"2015-01-05 12:46:14";"64693";"2015-01-05 12:46:14";"12265";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2014-12-13T13:03:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"14";"218";"499";"2393";"7708";"64298";"JavaScript";"0";"0"
"13";"ros/catkin";"ros/catkin";"https://github.com/ros/catkin";"67";"44";"13";"2011-11-07 22:19:26";"False";"True";"27";"True";"67";"2014-12-29 18:33:25";"7943";"2015-01-02 09:29:09";"44";"484417";"ROS";"https://www.openhub.net/p/ROSorg.xml";"https://www.openhub.net/p/ROSorg";"2010-07-30T02:25:37Z";"2015-01-05T12:53:51Z";"http://ros.org";"5.0";"6";"0";"70";"20";"284";"563";"8584";"31210";"217018";"C++";"False";"6"
"69";"feincms/feincms";"feincms/feincms";"https://github.com/feincms/feincms";"207";"586";"7";"2009-01-27 20:34:16";"False";"True";"28";"True";"207";"2014-12-12 09:42:11";"12852";"2015-01-01 13:58:57";"586";"316037";"FeinCMS";"https://www.openhub.net/p/feincms.xml";"https://www.openhub.net/p/feincms";"2009-02-16T20:52:47Z";"2014-12-15T17:35:07Z";"http://www.feinheit.ch/";"5.0";"1";"0";"50";"8";"17";"108";"151";"3416";"11748";"Python";"True";"30"
"54";"mosa/MOSA-Project";"mosa/MOSA-Project";"https://github.com/mosa/MOSA-Project";"35";"70";"7";"2009-12-24 04:11:15";"False";"True";"17";"True";"35";"2015-01-05 13:17:17";"67830";"2015-01-05 13:17:18";"70";"15985";"MOSA Project";"https://www.openhub.net/p/mosa-project.xml";"https://www.openhub.net/p/mosa-project";"2008-08-09T22:06:33Z";"2015-01-04T19:20:25Z";"http://www.mosa-project.org";"5.0";"5";"0";"60";"9";"6";"28";"737";"4251";"126037";"C#";"False";"2"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13341";"33722";"35";"2010-01-06 00:34:37";"False";"True";"1141";"True";"13341";"2015-01-04 12:13:48";"204488";"2015-01-05 13:44:57";"33722";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-04T19:16:39Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"640";"1242";"2278";"6317";"266132";"JavaScript";"False";"3212"
"74";"Anakeen/dynacase-core";"Anakeen/dynacase-core";"https://github.com/Anakeen/dynacase-core";"6";"12";"8";"2011-08-05 07:38:48";"False";"True";"1";"True";"6";"2014-12-24 08:00:42";"371833";"2014-12-24 08:00:42";"12";"8271";"dynacase-platform";"https://www.openhub.net/p/dynacase.xml";"https://www.openhub.net/p/dynacase";"2007-09-06T14:09:32Z";"2014-12-26T03:29:53Z";"http://www.dynacase.org/";"5.0";"5";"0";"60";"7";"4";"15";"496";"6720";"165964";"PHP";"True";"280"
"45";"eventmachine/eventmachine";"eventmachine/eventmachine";"https://github.com/eventmachine/eventmachine";"442";"2807";"7";"2008-08-17 18:35:57";"False";"True";"261";"True";"442";"2014-12-25 00:47:29";"5111";"2015-01-05 13:53:23";"2807";"11154";"Ruby/EventMachine";"https://www.openhub.net/p/eventmachine.xml";"https://www.openhub.net/p/eventmachine";"2008-01-21T05:56:09Z";"2014-11-17T18:50:42Z";"http://rubyeventmachine.com/";"5.0";"4";"0";"0";"10";"5";"95";"17";"820";"14711";"Ruby";"True";"12"
"25";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2649";"12265";"9";"2011-05-25 23:39:40";"False";"True";"222";"False";"2649";"2015-01-05 12:46:14";"64693";"2015-01-05 12:46:14";"12265";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2014-12-13T13:03:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"14";"218";"499";"2393";"7708";"64298";"JavaScript";"True";"638"
"13";"ros/catkin";"ros/catkin";"https://github.com/ros/catkin";"67";"44";"13";"2011-11-07 22:19:26";"False";"True";"27";"True";"67";"2014-12-29 18:33:25";"7943";"2015-01-02 09:29:09";"44";"484417";"ROS";"https://www.openhub.net/p/ROSorg.xml";"https://www.openhub.net/p/ROSorg";"2010-07-30T02:25:37Z";"2015-01-05T12:53:51Z";"http://ros.org";"5.0";"6";"0";"70";"20";"284";"563";"8584";"31210";"217018";"C++";"False";"2934"
"69";"feincms/feincms";"feincms/feincms";"https://github.com/feincms/feincms";"207";"586";"7";"2009-01-27 20:34:16";"False";"True";"28";"True";"207";"2014-12-12 09:42:11";"12852";"2015-01-01 13:58:57";"586";"316037";"FeinCMS";"https://www.openhub.net/p/feincms.xml";"https://www.openhub.net/p/feincms";"2009-02-16T20:52:47Z";"2014-12-15T17:35:07Z";"http://www.feinheit.ch/";"5.0";"1";"0";"50";"8";"17";"108";"151";"3416";"11748";"Python";"False";"9"
"54";"mosa/MOSA-Project";"mosa/MOSA-Project";"https://github.com/mosa/MOSA-Project";"35";"70";"7";"2009-12-24 04:11:15";"False";"True";"17";"True";"35";"2015-01-05 13:17:17";"67830";"2015-01-05 13:17:18";"70";"15985";"MOSA Project";"https://www.openhub.net/p/mosa-project.xml";"https://www.openhub.net/p/mosa-project";"2008-08-09T22:06:33Z";"2015-01-04T19:20:25Z";"http://www.mosa-project.org";"5.0";"5";"0";"60";"9";"6";"28";"737";"4251";"126037";"C#";"True";"3"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13341";"33722";"35";"2010-01-06 00:34:37";"False";"True";"1141";"True";"13341";"2015-01-04 12:13:48";"204488";"2015-01-05 13:44:57";"33722";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-04T19:16:39Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"640";"1242";"2278";"6317";"266132";"JavaScript";"False";"147"
"74";"Anakeen/dynacase-core";"Anakeen/dynacase-core";"https://github.com/Anakeen/dynacase-core";"6";"12";"8";"2011-08-05 07:38:48";"False";"True";"1";"True";"6";"2014-12-24 08:00:42";"371833";"2014-12-24 08:00:42";"12";"8271";"dynacase-platform";"https://www.openhub.net/p/dynacase.xml";"https://www.openhub.net/p/dynacase";"2007-09-06T14:09:32Z";"2014-12-26T03:29:53Z";"http://www.dynacase.org/";"5.0";"5";"0";"60";"7";"4";"15";"496";"6720";"165964";"PHP";"False";"220"
"45";"eventmachine/eventmachine";"eventmachine/eventmachine";"https://github.com/eventmachine/eventmachine";"442";"2807";"7";"2008-08-17 18:35:57";"False";"True";"261";"True";"442";"2014-12-25 00:47:29";"5111";"2015-01-05 13:53:23";"2807";"11154";"Ruby/EventMachine";"https://www.openhub.net/p/eventmachine.xml";"https://www.openhub.net/p/eventmachine";"2008-01-21T05:56:09Z";"2014-11-17T18:50:42Z";"http://rubyeventmachine.com/";"5.0";"4";"0";"0";"10";"5";"95";"17";"820";"14711";"Ruby";"False";"8"
"25";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2649";"12265";"9";"2011-05-25 23:39:40";"False";"True";"222";"False";"2649";"2015-01-05 12:46:14";"64693";"2015-01-05 12:46:14";"12265";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2014-12-13T13:03:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"14";"218";"499";"2393";"7708";"64298";"JavaScript";"0";"0"
"13";"ros/catkin";"ros/catkin";"https://github.com/ros/catkin";"67";"44";"13";"2011-11-07 22:19:26";"False";"True";"27";"True";"67";"2014-12-29 18:33:25";"7943";"2015-01-02 09:29:09";"44";"484417";"ROS";"https://www.openhub.net/p/ROSorg.xml";"https://www.openhub.net/p/ROSorg";"2010-07-30T02:25:37Z";"2015-01-05T12:53:51Z";"http://ros.org";"5.0";"6";"0";"70";"20";"284";"563";"8584";"31210";"217018";"C++";"False";"7908"
"69";"feincms/feincms";"feincms/feincms";"https://github.com/feincms/feincms";"207";"586";"7";"2009-01-27 20:34:16";"False";"True";"28";"True";"207";"2014-12-12 09:42:11";"12852";"2015-01-01 13:58:57";"586";"316037";"FeinCMS";"https://www.openhub.net/p/feincms.xml";"https://www.openhub.net/p/feincms";"2009-02-16T20:52:47Z";"2014-12-15T17:35:07Z";"http://www.feinheit.ch/";"5.0";"1";"0";"50";"8";"17";"108";"151";"3416";"11748";"Python";"False";"117"
"54";"mosa/MOSA-Project";"mosa/MOSA-Project";"https://github.com/mosa/MOSA-Project";"35";"70";"7";"2009-12-24 04:11:15";"False";"True";"17";"True";"35";"2015-01-05 13:17:17";"67830";"2015-01-05 13:17:18";"70";"15985";"MOSA Project";"https://www.openhub.net/p/mosa-project.xml";"https://www.openhub.net/p/mosa-project";"2008-08-09T22:06:33Z";"2015-01-04T19:20:25Z";"http://www.mosa-project.org";"5.0";"5";"0";"60";"9";"6";"28";"737";"4251";"126037";"C#";"False";"177"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13341";"33722";"35";"2010-01-06 00:34:37";"False";"True";"1141";"True";"13341";"2015-01-04 12:13:48";"204488";"2015-01-05 13:44:57";"33722";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-04T19:16:39Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"640";"1242";"2278";"6317";"266132";"JavaScript";"False";"3756"
"74";"Anakeen/dynacase-core";"Anakeen/dynacase-core";"https://github.com/Anakeen/dynacase-core";"6";"12";"8";"2011-08-05 07:38:48";"False";"True";"1";"True";"6";"2014-12-24 08:00:42";"371833";"2014-12-24 08:00:42";"12";"8271";"dynacase-platform";"https://www.openhub.net/p/dynacase.xml";"https://www.openhub.net/p/dynacase";"2007-09-06T14:09:32Z";"2014-12-26T03:29:53Z";"http://www.dynacase.org/";"5.0";"5";"0";"60";"7";"4";"15";"496";"6720";"165964";"PHP";"False";"4"
"25";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2649";"12265";"9";"2011-05-25 23:39:40";"False";"True";"222";"False";"2649";"2015-01-05 12:46:14";"64693";"2015-01-05 12:46:14";"12265";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2014-12-13T13:03:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"14";"218";"499";"2393";"7708";"64298";"JavaScript";"0";"0"
"13";"ros/catkin";"ros/catkin";"https://github.com/ros/catkin";"67";"44";"13";"2011-11-07 22:19:26";"False";"True";"27";"True";"67";"2014-12-29 18:33:25";"7943";"2015-01-02 09:29:09";"44";"484417";"ROS";"https://www.openhub.net/p/ROSorg.xml";"https://www.openhub.net/p/ROSorg";"2010-07-30T02:25:37Z";"2015-01-05T12:53:51Z";"http://ros.org";"5.0";"6";"0";"70";"20";"284";"563";"8584";"31210";"217018";"C++";"True";"4385"
"69";"feincms/feincms";"feincms/feincms";"https://github.com/feincms/feincms";"207";"586";"7";"2009-01-27 20:34:16";"False";"True";"28";"True";"207";"2014-12-12 09:42:11";"12852";"2015-01-01 13:58:57";"586";"316037";"FeinCMS";"https://www.openhub.net/p/feincms.xml";"https://www.openhub.net/p/feincms";"2009-02-16T20:52:47Z";"2014-12-15T17:35:07Z";"http://www.feinheit.ch/";"5.0";"1";"0";"50";"8";"17";"108";"151";"3416";"11748";"Python";"False";"6"
"54";"mosa/MOSA-Project";"mosa/MOSA-Project";"https://github.com/mosa/MOSA-Project";"35";"70";"7";"2009-12-24 04:11:15";"False";"True";"17";"True";"35";"2015-01-05 13:17:17";"67830";"2015-01-05 13:17:18";"70";"15985";"MOSA Project";"https://www.openhub.net/p/mosa-project.xml";"https://www.openhub.net/p/mosa-project";"2008-08-09T22:06:33Z";"2015-01-04T19:20:25Z";"http://www.mosa-project.org";"5.0";"5";"0";"60";"9";"6";"28";"737";"4251";"126037";"C#";"False";"2"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13341";"33722";"35";"2010-01-06 00:34:37";"False";"True";"1141";"True";"13341";"2015-01-04 12:13:48";"204488";"2015-01-05 13:44:57";"33722";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-04T19:16:39Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"640";"1242";"2278";"6317";"266132";"JavaScript";"False";"287"
"74";"Anakeen/dynacase-core";"Anakeen/dynacase-core";"https://github.com/Anakeen/dynacase-core";"6";"12";"8";"2011-08-05 07:38:48";"False";"True";"1";"True";"6";"2014-12-24 08:00:42";"371833";"2014-12-24 08:00:42";"12";"8271";"dynacase-platform";"https://www.openhub.net/p/dynacase.xml";"https://www.openhub.net/p/dynacase";"2007-09-06T14:09:32Z";"2014-12-26T03:29:53Z";"http://www.dynacase.org/";"5.0";"5";"0";"60";"7";"4";"15";"496";"6720";"165964";"PHP";"0";"0"
"25";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2649";"12265";"9";"2011-05-25 23:39:40";"False";"True";"222";"False";"2649";"2015-01-05 12:46:14";"64693";"2015-01-05 12:46:14";"12265";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2014-12-13T13:03:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"14";"218";"499";"2393";"7708";"64298";"JavaScript";"True";"28"
"13";"ros/catkin";"ros/catkin";"https://github.com/ros/catkin";"67";"44";"13";"2011-11-07 22:19:26";"False";"True";"27";"True";"67";"2014-12-29 18:33:25";"7943";"2015-01-02 09:29:09";"44";"484417";"ROS";"https://www.openhub.net/p/ROSorg.xml";"https://www.openhub.net/p/ROSorg";"2010-07-30T02:25:37Z";"2015-01-05T12:53:51Z";"http://ros.org";"5.0";"6";"0";"70";"20";"284";"563";"8584";"31210";"217018";"C++";"True";"25032"
"46";"zikula-modules/Clip";"zikula-modules/Clip";"https://github.com/zikula-modules/Clip";"13";"41";"6";"2010-08-03 04:25:19";"False";"True";"53";"False";"13";"2014-12-12 20:49:11";"6022";"2014-04-28 16:45:37";"41";"15267";"Clip";"https://www.openhub.net/p/clip.xml";"https://www.openhub.net/p/clip";"2008-07-01T18:57:07Z";"2014-12-12T07:38:51Z";"http://code.zikula.org/clip";"5.0";"6";"0";"30";"10";"3";"22";"21";"1458";"22988";"PHP";"True";"36"
